dependabot[bot],"release, notes, https","signed-off-by, dependabot, bot","dependabot, bot, support","bot, support, github.com","from, 2.0.7, to"
erfankashani,"merge, pull, request","pull, request, 4","request, 4, from","4, from, erfankashani/dependabot/bundler/rack-2.0.8","from, erfankashani/dependabot/bundler/rack-2.0.8, bump"
bors,"auto, merge, of","rustup, to, rust-lang/rust","r=phansch, rustup, to","add, real, suggestion","real, suggestion, to"
Kevin Tan,"merge, pull, request","pull, request, 2","request, 2, from","2, from, kevtan/dependabot/npm_and_yarn/handlebars-4.5.3","from, kevtan/dependabot/npm_and_yarn/handlebars-4.5.3, bump"
Mykle,"merge, pull, request","pull, request, 15","request, 15, from","15, from, mykle1/dependabot/npm_and_yarn/eslint-6.8.0","from, mykle1/dependabot/npm_and_yarn/eslint-6.8.0, bump"
AlanTellezS,,,,,
tyler.devtcn@gmail.com,"added, twitter, config","twitter, config, v1",,,
himobi,,,,,
Taylor Kraft,"automatically, backed, up","backed, up, by","up, by, learn",,
Benjamin Russell,"finally, fixing, that","fixing, that, broken","that, broken, test","broken, test, for","test, for, text"
Talha A,"added, css, support","css, support, and","support, and, menu","react, hooks, toggling","refactored, menu, hooks"
Viktor Plane,"more, changes, to","changes, to, logging",,,
Danilo Margarido,"nope, let, 's","let, 's, try","'s, try, 18.10","hopefully, 19.04, works","go, back, to"
DST-ftp-root,"automated, file, upload",,,,
jekyllvn,,,,,
tyru,"add, plug, qfloc-sbuffer",,,,
Jueliany,,,,,
SoftMonster,"remove, spider, keeper","spider, keeper, but","keeper, but, use","but, use, the","use, the, adventurer"
kt,"ensure, acctest, resource","acctest, resource, groups","resource, groups, follow","groups, follow, the","follow, the, format"
Logan,,,,,
KOLANICH,,,,,
WayneMRP,"dodanie, do, listy","6, miesięcy, apelacja","miesięcy, apelacja, https","nagminne, łamanie, lkiz","3, miesiące, apelacja"
1K2a3m4i,"merge, pull, request","merge, branch, 'master","branch, 'master, into","dodanie, do, listy","wpis, na, listę"
RohanBhirangi,"merge, pull, request","pull, request, 3","request, 3, from","3, from, rohanbhirangi/dependabot/npm_and_yarn/mixin-deep-1.3.2","from, rohanbhirangi/dependabot/npm_and_yarn/mixin-deep-1.3.2, bump"
Priest502,,,,,
dondontam,,,,,
YvonneHou98,"add, files, via","files, via, upload","via, upload, resumeupdate12.31",,
PowWow Admin,"other, update, client","update, client, version","connect, updated, connect","updated, connect, version","connect, version, to"
Cam Watson,,,,,
edhoguntur,"setting, up, yajra","up, yajra, datatables",,,
Nikita,,,,,
HSKHTM,"add, files, via","files, via, upload",,,
Menahem Ashurov,,,,,
Jarek Potiuk,"airflow-6205, the, 'airflow","the, 'airflow, db","'airflow, db, shell","db, shell, works","shell, works, on"
Tainoko,,,,,
Zachary Jacobs,"automatically, backed, up","backed, up, by","up, by, learn",,
Sithara Jayachandran,"attribute, hierarchy, school",,,,
seatacken,"working, on, new","on, new, counter","new, counter, functionality",,
Blandine12,"merge, pull, request","pull, request, 24","request, 24, from","24, from, teamfibonacci/jsday5.5","from, teamfibonacci/jsday5.5, working"
Nikhil Anand,,,,,
Timothy Castiglia,,,,,
Emirhan Kaplan,,,,,
char0x602,,,,,
mambax7,"add, bootstrap, plugin","merge, bootstrap, plugin","case, mismatch, in","mismatch, in, method","in, method, call"
Adam,"mini, funciton, added",,,,
Joshua Lange,"reverted, accidental, changes","accidental, changes, to","changes, to, arch/arm/src/sama5/sam_ethernet.c",,
Luke,,,,,
juliaslohman,"misc, cleanup, and","cleanup, and, accessiblity",,,
Deployment Bot (from Travis CI),"deploy, tyler-duckworth/tyler-duckworth.github.io, to","tyler-duckworth/tyler-duckworth.github.io, to, github.com/tyler-duckworth/tyler-duckworth.github.io.git","to, github.com/tyler-duckworth/tyler-duckworth.github.io.git, master","deploy, kol.kheang.org, to","kol.kheang.org, to, github.com/kolkheang/kol.kheang.org.git"
gycn,"fix, after, rebase","fix, 2d, labeling","label, 2d, viewer","2d, viewer, tests","after, rebase, add"
Jiangbei Li,"fix, bug, for","add, test, change","fix, de-select, not","de-select, not, showing","polyline, delete, some"
ChrisP19,"fix, url, 339","save, once, per","once, per, action","per, action, batch","action, batch, 345"
Fisher Yu,"remove, unnecessary, css","unnecessary, css, import","css, import, 356",,
Lily Zhang,"in, progress, in","progress, in, progress","in, progress, fix","fix, tests, completed","tests, fix, tests"
javapark1,"changed, header, to","header, to, follow","to, follow, the","follow, the, naming","the, naming, conventions"
Nathan Seidle,"move, redundant, iom","redundant, iom, setup","iom, setup, to","setup, to, begin","to, begin, function"
SockPuppetry,"travis, ci, build","ci, build, 187080","ci, build, 187065","ci, build, 187081","ci, build, 187066"
anower00,"recent, post, and","post, and, trending","and, trending, post","trending, post, shuffle",
asdfghy6,,,,,
Adolfo Marinucci,"scrollviewer, soft, scrolling",,,,
awsm-bot,"updating, backups, for","backups, for, 2019-10-03","backups, for, 2019-10-02",,
Bot,,,,,
ttrigui,"use, optimized, version","optimized, version, for","version, for, convolve","for, convolve, intrabc",
Christopher Degawa,"add, define, to","define, to, fix","to, fix, conflicting","fix, conflicting, globals","conflicting, globals, in"
its-pointless,,,,,
Ehron Gwinn,"update, map, values","map, values, for","values, for, new","for, new, versions","new, versions, of"
Saket Narayan,"document, workaround, for","workaround, for, running","for, running, of","running, of, tests","of, tests, from"
CarlosCastillo10,"comentando, la, linea","la, linea, 32","linea, 32, de","32, de, docs/_build/features/citations.html",
johnson chidubem,"2019, to, 2020","updated, the, yr","the, yr, from","yr, from, 2019","from, 2019, to"
Art Eschenlauer,,,,,
Binyamin Z,"automatically, backed, up","backed, up, by","up, by, learn",,
donaldsouza,,,,,
hedgespin,,,,,
endymion1818,"if, no, search","no, search, results","search, results, say","results, say, so","added, tag, page"
Sandeep Amarnath,"fixing, ui, for","typo, fixed, for","fixed, for, homepage","basic, version, of","version, of, game"
SandeepAmarnath,"merge, branch, 'master","branch, 'master, into","'master, into, master","merge, pull, request","pull, request, 2"
Prashant Shrestha,"fetching, parsing, real","parsing, real, title","real, title, done","title, done, moving","done, moving, to"
wideyu,,,,,
Christos Efstathiades,"link, to, porto","to, porto, added","porto, added, lol","added, lol, finally",
Egor Tensin,"test, add, more","add, more, parser","more, parser, tests","support, the, power","the, power, operator"
David Sandberg,"update, to, fit","to, fit, int64","fit, int64, intcodecomputer","09, add, input","add, input, file"
daneshchacko,"metadata, of, p165","of, p165, tanjung","p165, tanjung, piai","add, files, via","files, via, upload"
Atsushi Watanabe,"fix, test, input",,,,
boxmoji,,,,,
Renovate Bot,"chore, deps, update","deps, update, dependency","update, dependency, com.google.api-client","dependency, com.google.api-client, google-api-client","com.google.api-client, google-api-client, to"
zack,"‘, class_notes/2019/analysis/review/quals/solutions/fall, 2017.md","class_notes/2019/analysis/review/quals/solutions/fall, 2017.md, ’",,,
AdrianValenciaSantos,"final, updates, for","updates, for, mobile","for, mobile, format",,
Gabriela Voll,"fully, php, app","php, app, now","app, now, with","now, with, the","with, the, help"
Marc Ferland,"had, to, downgrade","to, downgrade, to","downgrade, to, node","to, node, v11","node, v11, because"
rimblood,,,,,
Jake Witcher,"fix, type, in","type, in, language-configuration.json","in, language-configuration.json, of","language-configuration.json, of, ext-language","of, ext-language, template"
xiali,,,,,
Cockpituous,"images, update, continuous-atomic","update, continuous-atomic, image","continuous-atomic, image, closes","image, closes, 381",
Mark Chepel,,,,,
zsxs2,,,,,
Holly Rogers,"added, text, to","text, to, about","to, about, me","modified, imgs, and","imgs, and, deleted"
Gil Carvalho,,,,,
Emine,,,,,
McSonk,"nombre, de, usuario","muestra, el, nombre","el, nombre, de","de, usuario, en","usuario, en, el"
Zhenya,"add, files, via","files, via, upload",,,
Noah Emmet,"add, locations, field",,,,
Juliano Dorigão,"signed-off-by, juliano, dorigão","juliano, dorigão, jdorigao","dorigão, jdorigao, gmail.com","menubg, signed-off-by, juliano","menu, signed-off-by, juliano"
5john,"2020/01/01, 00:41:23, zbn4pyuo","00:41:23, zbn4pyuo, linshiyouxiang.net","2020/01/01, 00:42:26, zbn4pyuo","00:42:26, zbn4pyuo, linshiyouxiang.net","2020/01/01, 00:43:26, zbn4pyuo"
nukooo,"use, integer, arithmetic","integer, arithmetic, for","arithmetic, for, timestamps","for, timestamps, fixes","timestamps, fixes, 1"
Site Autobuilder,"autogenerated, site, via","site, via, github","via, github, actions",,
n8wb,"add, copyright, notices","add, wrap, function","add, plain, func",,
Alex Braun,"blob_etl, bug, fixes",,,,
Cory Lynch,"enable, source, map","source, map, for","map, for, webpack","rename, dev, hotloader","rename, app.js, server.js"
Franck Nijhof,"migrate, input_, tests","input_, tests, from","tests, from, coroutine","from, coroutine, to","coroutine, to, async/await"
HomeAssistant Azure,"ci, skip, translation","skip, translation, update",,,
pull[bot],"merge, pull, request","pull, request, 1101","request, 1101, from","1101, from, home-assistant/dev","from, home-assistant/dev, pull"
Jono,"add, weebot, to","weebot, to, portfolio","to, portfolio, and","portfolio, and, update","and, update, resume"
Patrik J. Braun,,,,,
BenAlaa,"fix, hoc, protected","hoc, protected, routes","close, modal, after","modal, after, create","after, create, task"
jrdegreeff,"better, object, orientation","object, orientation, properties","arbitrary, grid, lengths",,
mapcat,,,,,
Tian Pan,,,,,
Oscar Esteban,"apply, suggestions, from","suggestions, from, code","from, code, review","code, review, co-authored-by","review, co-authored-by, chris"
Benjamin James,"json, api, takes","api, takes, multiple","takes, multiple, requests","multiple, requests, all","requests, all, at"
Pooya Davoodi,"link, to, relevant","to, relevant, ops","relevant, ops, for","ops, for, trt_engine_op_test",
Asif Ali Rizvan,"removed, useless, files",,,,
Yousef Akbar,"added, mic, mute","mic, mute, functionality","mute, functionality, light","functionality, light, shows","light, shows, on"
David Cohen,"merge, pull, request","from, enmotus-dave-cohen/master, merge","enmotus-dave-cohen/master, merge, pull","pull, request, 21","request, 21, from"
Steve Holmes,"hide, block, display","block, display, adjust","display, adjust, other","adjust, other, elements","other, elements, turn"
Rika,"maintainers, add, rika","get_iplayer, 2.99, 3.24",,,
blensink192,"update, posts, “","posts, “, top-10-albums-of-2010","“, top-10-albums-of-2010, ”","upload, “, /assets/uploads/arielview.png","“, /assets/uploads/arielview.png, ”"
Brokalys bot,"riga, 2019-12-01, 2019-12-31","monthly, price, per","price, per, sqm","per, sqm, data","sqm, data, house"
MichaelRomero,"fixed, authactions, with","authactions, with, linter","with, linter, and","linter, and, added","and, added, spaced-comment"
Allison Chou,"implemented, fix, to-do","fix, to-do, fix","to-do, fix, tests","fixed, tests, refactoring","changes, based, on"
Kyle E. Mitchell,,,,,
Michael Voříšek,"fix, birth, date","birth, date, for","date, for, travis",,
olesgedz,,,,,
wessilfie,,,,,
Christian Tietz,"cmake-utils, cmake, eclass","cmake, eclass, package-manager","eclass, package-manager, portage-2.3.79","package-manager, portage-2.3.79, repoman-2.3.16","portage-2.3.79, repoman-2.3.16, signed-off-by"
sourceconnect-tests,"e2e, test, 2020-01-01t00:40:54.805480","e2e, test, 2020-01-01t00:42:17.965554","e2e, test, 2020-01-01t00:42:09.443066","e2e, test, 2020-01-01t00:45:50.778540","e2e, test, 2020-01-01t00:46:28.679615"
=,,,,,
lonefintech,,,,,
chosim-dev,,,,,
MatthewTheGlutton,"smg/lib, add, new","add, new, features","new, features, in","features, in, random","in, random, spawns"
Augusto Martinez,,,,,
jhonnySAN,"agregando, jwt, para","jwt, para, el","para, el, login",,
Eduardo Aureliano,,,,,
Pugabyte,,,,,
Yang Zhang,"remove, generated, files","use, .bin, as",".bin, as, binary","as, binary, extension",
Townsend Porcher,,,,,
Keyi Zhang,"test, windows, build","windows, build, skip","build, skip, travis","add, windows, realpath","windows, realpath, implementation"
Mike Ludkovski,"converted, plt.2d.surf, to","plt.2d.surf, to, ggplot","to, ggplot, raster","ggplot, raster, plot","merge, branch, 'master"
jv80,,,,,
klawir,"pref, has, been","has, been, created","revision, 1, the","1, the, pref","the, pref, has"
RachidRezzik,,,,,
Joel Chen,,,,,
Robin Unger,"on, user, pages","create, post, model","post, model, tests","add, faker, gem","faker, gem, and"
Duy Thanh,,,,,
2ndClemens,,,,,
Omer Faruk Gul,"merge, branch, 'master","branch, 'master, of","'master, of, https","of, https, //github.com/omergul/omergul.github.io",
Peter Mitrano,"buttons, work, weird","work, weird, ui","weird, ui, include","ui, include, setup","include, setup, though"
heng.zhang,,,,,
ANGELLOPARR,"life, cycle, hooks",,,,
h5p9sl,"privatize, draw_snow, function",,,,
aqi-moscun,"update, file, at","file, at, 2020-01-01","at, 2020-01-01, 00:41:42","at, 2020-01-01, 00:42:50","at, 2020-01-01, 00:43:58"
parkerziegler,"update, example, readmes","final, adjustments, to","adjustments, to, index.d.ts","prepare, v0.2.3, release",
Charles Iliya Krempeaux,,,,,
wigforss,"maven-release-plugin, prepare, release","maven-release-plugin, prepare, for","prepare, for, next","for, next, development","next, development, iteration"
phiDel Bak,"버전업, 3.9.1.2, poe","3.9.1.2, poe, 3.9.1b",,,
JooChan,"added, todo, and","todo, and, added","and, added, projects",,
ㄗㄠˋ ㄑㄧˊ,,,,,
David Wilemski,"2019, books, post","new-style, format, string","format, string, for","string, for, feed","for, feed, atom"
JulVoe,,,,,
Chris Roat,"remove, extraneous, file",,,,
Guangde Wang,"added, leetcode, 740","leetcode, 740, delete","740, delete, and","delete, and, earn","leetcode198, is, equivalent"
gerbs66,,,,,
Quinton Pryce,,,,,
hwong0305,"added, login, link","login, link, to","link, to, register","to, register, page","updated, error, message"
deathbybandaid,"update, lists, wed","lists, wed, jan","wed, jan, 1","jan, 1, 00:41:09","1, 00:41:09, utc"
hunterko,,,,,
87591,,,,,
jinghuijuan6,,,,,
jinghuijuan4,,,,,
Jas,"progress, on, collada","on, collada, importer",,,
ke0m,"scripts, for, creation","for, creation, and","creation, and, qc","and, qc, of","qc, of, prestack"
GitClock,,,,,
hwx438865,,,,,
Frederick DenBleyker,"automatically, backed, up","backed, up, by","up, by, learn",,
A-ee,"merge, branch, 'master","branch, 'master, into","'master, into, master","improve, the, interpreter","merge, pull, request"
Vanessa Sochat,"signed-off-by, vanessa, sochat","vanessa, sochat, vsochat","sochat, vsochat, stanford.edu","updating, membership, count","membership, count, data"
mawork1,"this, is, most","is, most, u","most, u, that","u, that, i","that, i, am"
aaiden Nicolas Witten,"automatically, backed, up","backed, up, by","up, by, learn",,
mopp,,,,,
RhXKGxbwQHmTREDU,,,,,
hou1234,,,,,
Ian White,"sticky, section, headers","bugfixes, for, firefox",,,
nodemcu-custom-build,"prepare, my, build.config","my, build.config, for","build.config, for, custom","for, custom, build",
yossy222vrc,"update, images, at","images, at, 2020-01-01","at, 2020-01-01, 09:41:41",,
Michael Reilly,,,,,
jinghuijuan,,,,,
jinghuijuan10,,,,,
jinghuijuan8,,,,,
jinghuijuan5,,,,,
Fatemeh Kiaie,"add, files, via","files, via, upload",,,
Hugo Barrueta,,,,,
Adam Arling,"update, versions, to","versions, to, get","to, get, rid","get, rid, of","rid, of, dependency"
474151949,,,,,
houbinbin87591,,,,,
jinghuijuan7,,,,,
Qiong Zhou Huang,"wow, everything, works","everything, works, im","works, im, so","im, so, proud","so, proud, of"
DawidJozwiak,,,,,
tronjsdev,"update, project, remove","project, remove, rebass",,,
yangcaicai,,,,,
raptor_MVK,"add, 9, tasks",,,,
Rommel Haynes,"automatically, backed, up","backed, up, by","up, by, learn",,
Rabia Alhaffar,"fixed, errors, in","errors, in, markdown","in, markdown, code","markdown, code, generating","add, files, via"
ceorron,,,,,
Eric Liu,"change, defaultselected, to","defaultselected, to, selected","chore, storybook, set","storybook, set, 9090","set, 9090, as"
Travis-CI,"deployed, to, github","to, github, pages",,,
toppk,"-clean, up, sqlite","up, sqlite, schema","sqlite, schema, -add","schema, -add, register","-add, register, archive"
Cody Yu,"update, include/tvm/relay/attrs/annotation.h, co-authored-by","include/tvm/relay/attrs/annotation.h, co-authored-by, 雾雨魔理沙","co-authored-by, 雾雨魔理沙, lolisa","雾雨魔理沙, lolisa, marisa.moe",
emrahizci,"frontend, homepage, url","merge, branch, 'master","branch, 'master, of","'master, of, https","of, https, //github.com/zulala/notes"
Eric Crooks,"merge, pull, request","staging, merge, branch","merge, branch, 'master","branch, 'master, into","'master, into, staging"
deno-drash-docs-ci,"merge, branch, 'master","branch, 'master, of","'master, of, https","of, https, //github.com/drashland/deno-drash-docs","https, //github.com/drashland/deno-drash-docs, into"
Zayyed Mansoor,,,,,
Colson Scott,"change, margin, on","margin, on, jm-logo",,,
Jesse Millar,"conferting, ints, to","ints, to, strings","to, strings, properly","strings, properly, signed-off-by","properly, signed-off-by, jesse"
JonoCode9374,,,,,
Simon H Moore,"save, syncthing, output","syncthing, output, to","output, to, log","merge, branch, 'master","branch, 'master, of"
Ying Huang,,,,,
emanwern,"start, vereinheitlicht, und","vereinheitlicht, und, vereinfacht",,,
zachgoll,,,,,
James Harrison,"add, results, for","results, for, commit","for, commit, d5fc15846ba477d0d90ec033dce5b8d4328634a1","commit, d5fc15846ba477d0d90ec033dce5b8d4328634a1, run","d5fc15846ba477d0d90ec033dce5b8d4328634a1, run, on"
Peter Eisentraut,"modernize, python, exception","python, exception, syntax","exception, syntax, in","syntax, in, documentation","in, documentation, change"
Commitfest Bot,"this, commit, was","commit, was, automatically","was, automatically, generated","automatically, generated, by","generated, by, a"
Pierre Hunault,"improve, performance, when","performance, when, exporting","when, exporting, strategic","exporting, strategic, choices","strategic, choices, 12"
Michael Dickens,"cppunit, update, to","update, to, 1.15.1","to, 1.15.1, remove","1.15.1, remove, integrated","remove, integrated, patch"
Fred Wright,"'', this, reverts","this, reverts, commit","py-setuptools29, this, is","as, of, setuptools","of, setuptools, v30.0.0"
Metype,"add, files, via","files, via, upload",,,
moezelahi,,,,,
Enmotus-Dave-Cohen,"merge, branch, 'master","branch, 'master, of","'master, of, https","of, https, //github.com/david-cohen/diskspd",
sjmiller7,,,,,
Andrey Castro,"pushpin, pinning, odoo","pinning, odoo, docker","odoo, docker, image","docker, image, to","image, to, a"
Raj Kadam,"blockmodo, housekeeping, coin","housekeeping, coin, count","coin, count, update",,
Felipe D. Santos,,,,,
sunbysea,,,,,
Dongbo Wang,"add, more, tests","preserve, the, _savedcurrentline","the, _savedcurrentline, and","_savedcurrentline, and, _currenthistoryindex","and, _currenthistoryindex, while"
hydra3333,"add, files, via","files, via, upload",,,
Leonard Shen,"updated, colors, and","colors, and, chart","and, chart, height",,
